DATE,1m,3m,6m,1yr,2yr,3yr,5yr,7yr,10yr,20yr,30yr
2011-03-25,0.05,0.09,0.16,0.26,0.71,1.17,2.1,2.78,3.38,4.22,4.46
2011-04-01,0.04,0.09,0.17,0.3,0.8,1.3,2.23,2.9,3.47,4.29,4.51
2011-04-08,0.03,0.05,0.13,0.27,0.82,1.32,2.28,2.95,3.54,4.35,4.57
2011-04-15,0.03,0.06,0.12,0.24,0.77,1.27,2.22,2.88,3.51,4.33,4.55
2011-04-22,0.04,0.06,0.11,0.24,0.69,1.15,2.12,2.78,3.41,4.23,4.46
2011-04-29,0.02,0.06,0.11,0.22,0.64,1.07,2.04,2.71,3.36,4.18,4.42
2011-05-06,0.02,0.03,0.08,0.2,0.59,0.99,1.92,2.6,3.24,4.07,4.32
2011-05-13,0.01,0.03,0.07,0.18,0.57,0.97,1.87,2.54,3.2,4.05,4.33
2011-05-20,0.03,0.05,0.08,0.19,0.55,0.93,1.83,2.51,3.15,3.99,4.28
2011-05-27,0.04,0.06,0.1,0.19,0.52,0.87,1.77,2.44,3.1,3.96,4.26
2011-06-03,0.04,0.05,0.11,0.18,0.44,0.77,1.63,2.32,3.01,3.89,4.21
2011-06-10,0.02,0.05,0.1,0.18,0.41,0.72,1.58,2.28,3.0,3.9,4.22
2011-06-17,0.02,0.05,0.11,0.18,0.4,0.71,1.58,2.28,2.99,3.9,4.21
2011-06-24,0.01,0.02,0.09,0.17,0.37,0.65,1.52,2.23,2.96,3.87,4.19
2011-07-01,0.01,0.02,0.1,0.19,0.46,0.77,1.67,2.4,3.11,4.05,4.36
2011-07-08,0.02,0.02,0.07,0.19,0.44,0.76,1.67,2.42,3.12,4.05,4.35
2011-07-15,0.01,0.02,0.06,0.16,0.37,0.63,1.48,2.21,2.94,3.89,4.21
2011-07-22,0.03,0.03,0.08,0.18,0.39,0.65,1.5,2.23,2.97,3.93,4.26
2011-07-29,0.09,0.07,0.12,0.21,0.41,0.66,1.5,2.23,2.97,3.91,4.25
2011-08-05,0.04,0.04,0.09,0.16,0.32,0.5,1.23,1.92,2.62,3.54,3.88
2011-08-12,0.02,0.03,0.07,0.11,0.21,0.35,0.99,1.6,2.27,3.23,3.66
2011-08-19,0.01,0.02,0.06,0.11,0.2,0.33,0.93,1.5,2.17,3.13,3.57
2011-08-26,0.01,0.01,0.03,0.1,0.22,0.37,0.97,1.54,2.19,3.12,3.53
2011-09-02,0.01,0.02,0.05,0.1,0.2,0.33,0.93,1.52,2.17,3.11,3.52
2011-09-09,0.01,0.02,0.06,0.12,0.2,0.33,0.87,1.4,1.99,2.9,3.3
2011-09-16,0.0,0.01,0.04,0.1,0.2,0.35,0.91,1.45,2.03,2.92,3.32
2011-09-23,0.0,0.01,0.03,0.1,0.2,0.33,0.85,1.35,1.87,2.68,3.02
2011-09-30,0.0,0.02,0.04,0.11,0.26,0.42,0.96,1.46,1.97,2.74,3.02
2011-10-07,0.01,0.01,0.04,0.11,0.27,0.44,0.96,1.45,1.93,2.63,2.88
2011-10-14,0.02,0.02,0.06,0.11,0.3,0.52,1.14,1.7,2.22,2.92,3.17
2011-10-21,0.02,0.03,0.06,0.12,0.28,0.47,1.07,1.64,2.2,2.92,3.18
2011-10-28,0.01,0.02,0.06,0.12,0.29,0.48,1.11,1.71,2.28,3.02,3.29
2011-11-04,0.01,0.01,0.04,0.12,0.23,0.38,0.91,1.48,2.07,2.8,3.07
2011-11-11,0.01,0.01,0.04,0.1,0.25,0.38,0.9,1.45,2.05,2.79,3.08
2011-11-18,0.01,0.01,0.04,0.11,0.26,0.4,0.91,1.45,2.02,2.73,3.04
2011-11-25,0.02,0.02,0.06,0.12,0.27,0.41,0.91,1.43,1.94,2.6,2.9
2011-12-02,0.02,0.02,0.06,0.13,0.26,0.4,0.94,1.5,2.04,2.72,3.02
2011-12-09,0.0,0.01,0.05,0.11,0.24,0.38,0.9,1.47,2.04,2.74,3.05
2011-12-16,0.0,0.01,0.05,0.11,0.25,0.36,0.85,1.39,1.94,2.63,2.95
2011-12-23,0.0,0.01,0.04,0.12,0.27,0.4,0.9,1.41,1.95,2.63,2.95
2011-12-30,0.01,0.02,0.06,0.12,0.28,0.41,0.9,1.41,1.94,2.62,2.94
2012-01-06,0.01,0.02,0.06,0.12,0.26,0.4,0.88,1.42,1.99,2.71,3.02
2012-01-13,0.01,0.02,0.05,0.11,0.24,0.36,0.83,1.37,1.95,2.66,2.98
2012-01-20,0.03,0.04,0.07,0.11,0.24,0.36,0.85,1.39,1.96,2.68,3.0
2012-01-27,0.03,0.05,0.07,0.12,0.23,0.35,0.84,1.41,2.01,2.77,3.12
2012-02-03,0.05,0.07,0.09,0.13,0.23,0.31,0.73,1.28,1.88,2.66,3.02
2012-02-10,0.05,0.09,0.11,0.15,0.26,0.35,0.81,1.38,1.99,2.77,3.13
2012-02-17,0.06,0.11,0.14,0.17,0.29,0.4,0.84,1.38,1.97,2.76,3.12
2012-02-24,0.06,0.09,0.14,0.17,0.31,0.43,0.89,1.42,2.01,2.79,3.15
2012-03-02,0.08,0.09,0.13,0.18,0.3,0.42,0.86,1.38,1.97,2.74,3.09
2012-03-09,0.06,0.08,0.14,0.18,0.31,0.43,0.87,1.39,2.0,2.78,3.14
2012-03-16,0.07,0.09,0.15,0.2,0.36,0.54,1.06,1.6,2.21,3.0,3.34
2012-03-23,0.07,0.09,0.15,0.2,0.39,0.58,1.16,1.72,2.32,3.07,3.4
2012-03-30,0.05,0.08,0.14,0.18,0.34,0.51,1.05,1.6,2.22,2.97,3.31
2012-04-06,0.07,0.08,0.14,0.19,0.34,0.51,1.02,1.58,2.21,2.98,3.33
2012-04-13,0.08,0.09,0.14,0.18,0.29,0.43,0.88,1.41,2.04,2.81,3.17
2012-04-20,0.05,0.08,0.13,0.18,0.27,0.41,0.86,1.38,2.0,2.76,3.13
2012-04-27,0.07,0.09,0.14,0.18,0.26,0.39,0.84,1.36,1.98,2.74,3.12
2012-05-04,0.06,0.09,0.15,0.19,0.27,0.39,0.82,1.33,1.95,2.72,3.12
2012-05-11,0.07,0.1,0.15,0.18,0.27,0.36,0.77,1.27,1.88,2.63,3.04
2012-05-18,0.07,0.09,0.15,0.2,0.3,0.39,0.74,1.18,1.74,2.46,2.87
2012-05-25,0.07,0.09,0.14,0.21,0.29,0.41,0.76,1.18,1.76,2.44,2.84
2012-06-01,0.04,0.08,0.13,0.19,0.27,0.37,0.69,1.05,1.61,2.29,2.69
2012-06-08,0.04,0.09,0.14,0.18,0.26,0.36,0.7,1.07,1.61,2.29,2.69
2012-06-15,0.06,0.1,0.15,0.18,0.29,0.39,0.71,1.08,1.62,2.32,2.72
2012-06-22,0.06,0.09,0.15,0.19,0.31,0.4,0.73,1.1,1.64,2.32,2.71
2012-06-29,0.05,0.09,0.16,0.21,0.31,0.41,0.72,1.1,1.64,2.33,2.71
