DATE,WGS2YR
2011-03-25,0.71
2011-04-01,0.80
2011-04-08,0.82
2011-04-15,0.77
2011-04-22,0.69
2011-04-29,0.64
2011-05-06,0.59
2011-05-13,0.57
2011-05-20,0.55
2011-05-27,0.52
2011-06-03,0.44
2011-06-10,0.41
2011-06-17,0.40
2011-06-24,0.37
2011-07-01,0.46
2011-07-08,0.44
2011-07-15,0.37
2011-07-22,0.39
2011-07-29,0.41
2011-08-05,0.32
2011-08-12,0.21
2011-08-19,0.20
2011-08-26,0.22
2011-09-02,0.20
2011-09-09,0.20
2011-09-16,0.20
2011-09-23,0.20
2011-09-30,0.26
2011-10-07,0.27
2011-10-14,0.30
2011-10-21,0.28
2011-10-28,0.29
2011-11-04,0.23
2011-11-11,0.25
2011-11-18,0.26
2011-11-25,0.27
2011-12-02,0.26
2011-12-09,0.24
2011-12-16,0.25
2011-12-23,0.27
2011-12-30,0.28
2012-01-06,0.26
2012-01-13,0.24
2012-01-20,0.24
2012-01-27,0.23
2012-02-03,0.23
2012-02-10,0.26
2012-02-17,0.29
2012-02-24,0.31
2012-03-02,0.30
2012-03-09,0.31
2012-03-16,0.36
2012-03-23,0.39
2012-03-30,0.34
2012-04-06,0.34
2012-04-13,0.29
2012-04-20,0.27
2012-04-27,0.26
2012-05-04,0.27
2012-05-11,0.27
2012-05-18,0.30
2012-05-25,0.29
2012-06-01,0.27
2012-06-08,0.26
2012-06-15,0.29
2012-06-22,0.31
2012-06-29,0.31
2012-07-06,0.29
2012-07-13,0.26
2012-07-20,0.23
2012-07-27,0.23
2012-08-03,0.24
2012-08-10,0.27
2012-08-17,0.28
2012-08-24,0.28
2012-08-31,0.26
2012-09-07,0.25
2012-09-14,0.25
2012-09-21,0.26
2012-09-28,0.26
2012-10-05,0.24
2012-10-12,0.27
2012-10-19,0.29
2012-10-26,0.30
2012-11-02,0.30
2012-11-09,0.28
2012-11-16,0.25
2012-11-23,0.27
2012-11-30,0.26
2012-12-07,0.25
2012-12-14,0.25
2012-12-21,0.27
2012-12-28,0.26
2013-01-04,0.27
2013-01-11,0.26
2013-01-18,0.26
2013-01-25,0.26
2013-02-01,0.28
2013-02-08,0.26
2013-02-15,0.28
2013-02-22,0.27
2013-03-01,0.25
2013-03-08,0.25
2013-03-15,0.27
2013-03-22,0.26
2013-03-29,0.25
2013-04-05,0.24
2013-04-12,0.24
2013-04-19,0.24
2013-04-26,0.23
2013-05-03,0.21
2013-05-10,0.23
2013-05-17,0.25
2013-05-24,0.26
2013-05-31,0.30
2013-06-07,0.31
2013-06-14,0.32
2013-06-21,0.31
2013-06-28,0.39
2013-07-05,0.36
2013-07-12,0.37
2013-07-19,0.33
2013-07-26,0.32
2013-08-02,0.32
2013-08-09,0.32
2013-08-16,0.34
2013-08-23,0.38
2013-08-30,0.39
2013-09-06,0.47
2013-09-13,0.46
2013-09-20,0.36
2013-09-27,0.35
2013-10-04,0.33
2013-10-11,0.37
2013-10-18,0.34
2013-10-25,0.32
2013-11-01,0.32
2013-11-08,0.31
2013-11-15,0.32
2013-11-22,0.30
2013-11-29,0.29
2013-12-06,0.30
2013-12-13,0.32
2013-12-20,0.34
2013-12-27,0.40
2014-01-03,0.39
2014-01-10,0.41
2014-01-17,0.40
2014-01-24,0.40
2014-01-31,0.36
2014-02-07,0.31
2014-02-14,0.33
2014-02-21,0.33
2014-02-28,0.34
2014-03-07,0.35
2014-03-14,0.36
2014-03-21,0.42
2014-03-28,0.46
2014-04-04,0.45
2014-04-11,0.38
2014-04-18,0.40
2014-04-25,0.43
2014-05-02,0.43
2014-05-09,0.41
2014-05-16,0.39
2014-05-23,0.36
